3970.663328467, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.694741503, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.723169002, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.75358631, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.783517068, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.814032134, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.845488947, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.87363232, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.905005042, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.932832604, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.965332941, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3970.993150893, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3971.024313413, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3971.053941157, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3971.085901742, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3971.113431382, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3971.14327427, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3971.177834712, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3971.204126127, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3971.232296351, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3971.262934915, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3971.294793705, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3971.329115131, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
